category,rows_used,train_n,test_n,MAE,RMSE,R2
CAT,6000,4500,1500,0.17775496777500788,0.26924046697060916,0.422570733501765
ISS,6000,4500,1500,0.2124887785593388,0.313084525939493,0.5206635799931527
LEX,6000,4500,1500,0.257542228489518,0.3465619993587759,0.4278907475604563
RTL,6000,4500,1500,0.06824904481049325,0.15890434345921506,0.8691303477952957
