category,satisfaction_score,Aesthetics,Safety,Vibrancy,Wealth,Depression,Boring
CAT,4.5,4.770183682,3.023390532,3.405709028,5.256185055,5.675475478,5.461957455
CAT,3.5,4.84567976,3.034785032,3.313708067,5.233087063,5.886346936,5.165332794
CAT,3.5,4.896631002,3.162044764,3.086813807,5.082258105,6.199260831,5.063024879
CAT,3.5,4.827772737,3.12482065,3.420258462,5.105923533,5.826239705,5.092746735
CAT,3.5,4.850175858,3.109472334,3.28662318,5.158258319,5.938900709,5.125267506
CAT,3.6,4.771800756,2.971441984,3.121397138,5.076779842,5.890165806,4.921685338
CAT,3.5,4.907186389,3.077004194,3.438966274,5.06895864,5.794085145,5.100635529
CAT,3.7,4.845873356,3.000605285,3.329290867,5.23008132,5.721170664,5.315536141
CAT,3.6,4.797635317,3.025853574,3.263603151,5.052213311,5.84705615,5.221990705
CAT,3.3,4.864082932,3.051363111,3.440983176,5.265604496,5.954322934,5.273189187
CAT,3.6,4.873099327,3.02436763,3.45131278,5.156805634,5.742994785,5.293911219
CAT,4.5,4.846341372,3.114193559,3.141804993,5.119960546,5.818058372,5.201724291
CAT,3.2,4.869199395,2.940613866,3.381266356,5.126067519,5.851619482,5.133425355
CAT,3.4,4.916098356,3.195594668,3.120272458,5.080599904,5.994635463,5.048445225
CAT,4.2,4.827793241,3.171809793,3.430403829,5.05273068,5.738551736,4.974244714
CAT,3.7,4.846989632,2.978635073,3.248242676,5.092349052,5.870701313,5.140180945
CAT,3.5,4.8460747,3.106642842,3.426583171,5.178739667,5.845965147,5.253722906
CAT,3.5,4.707612276,2.816537261,3.420239568,4.986154675,5.829895139,5.092836261
CAT,3.5,4.765085697,3.003938138,3.597777963,4.990614414,5.574537039,5.129505038
CAT,3.8,4.803267002,2.960844874,3.295421064,5.223731875,5.839366436,5.220791459
CAT,4.6,4.98154068,3.085833371,3.428440034,5.171188116,5.78654325,5.223629236
CAT,4.0,4.716238499,3.078833222,3.47303009,5.111632824,5.681558847,5.239177108
CAT,3.4,4.835666656,3.087266326,3.312765121,5.223232627,5.937157154,5.203598857
CAT,3.5,4.840712667,3.092536807,3.67168951,5.124423742,5.825417876,5.347516298
CAT,4.1,4.786366105,3.047708094,3.244486392,5.015245199,5.77101934,5.040769577
CAT,3.9,4.816119313,3.035315394,3.301062226,5.053027272,5.667495608,5.197204113
CAT,4.4,4.863598108,3.062366962,3.30724442,5.119503021,5.912776828,5.040879846
CAT,3.7,4.825625539,3.014780939,3.405465841,5.133370042,5.887170434,5.248508811
CAT,3.6,4.7961061,3.028577685,3.511568725,5.050753593,5.8271451,5.199607968
CAT,3.4,4.873909712,2.976144075,3.374553025,5.093243122,5.962658644,5.159836531
CAT,3.5,4.858845353,3.067486286,3.35481596,5.041566253,5.909250975,5.073150516
CAT,3.5,4.810017347,3.019555569,3.4975667,5.098043799,5.636367202,5.342605233
CAT,3.7,4.829778314,2.923148572,3.415714622,5.300856352,5.872336149,5.269873261
CAT,3.2,4.948237062,3.041870713,3.367818534,5.071468592,5.916633725,5.260048747
CAT,3.6,4.882950068,3.386917353,3.525556147,5.353134871,6.028879523,5.36996913
CAT,3.8,4.797256947,3.087162495,3.498115957,5.160023451,5.888304353,5.197011113
CAT,3.6,4.874080896,3.090894759,3.615777791,5.186086774,5.871988297,5.256708264
CAT,3.5,4.793011785,3.05834502,3.255580068,5.137165546,6.007943749,5.278211117
CAT,3.7,4.820089817,2.940760851,3.521571338,5.129383683,5.867897987,5.381993532
CAT,4.3,4.813243508,3.050749123,3.44822824,5.190979958,5.859564066,5.221999645
CAT,3.6,4.753810883,3.157957196,3.515920043,5.112523198,5.740158319,5.161317825
CAT,3.7,4.825693965,2.846616864,3.432708681,5.12822175,5.851986647,5.15245688
CAT,3.7,4.884751558,3.156006277,3.352049351,5.099886537,5.912967086,5.12873292
CAT,3.6,4.93127501,3.088744342,3.363413393,5.230925441,5.822090745,5.284774661
CAT,3.8,4.839362383,3.062955678,3.457285881,5.189927816,5.657811165,5.250261307
