segment_id,category,n_poi,mean_shap_Safety,mean_shap_Aesthetics,mean_shap_Vibrancy,mean_shap_Wealth,mean_shap_Depression,mean_shap_Boring,mean_abs_shap_Safety,mean_abs_shap_Aesthetics,mean_abs_shap_Vibrancy,mean_abs_shap_Wealth,mean_abs_shap_Depression,mean_abs_shap_Boring,dominant_driver,negative_driver,negative_shap_value
S000602,CAT,18,-0.04082328307119785,-0.029673787157577163,-0.021095357576720326,-0.018498142269871447,-0.03213943652181676,-0.02212444653220604,0.04144744118035518,0.029673787157577163,0.021509502697110106,0.02470535742001376,0.03274580803870447,0.027737804196994335,Safety,Safety,-0.04082328307119785
S000998,CAT,8,-0.017209525067678366,-0.0010062483017007093,-0.018143894404482684,-0.016974431744648896,-0.019805894249778022,-0.01220755566322379,0.03331803353090358,0.015720965365013894,0.024188334236458713,0.042291537377890084,0.027593672968788813,0.023683905106740843,Wealth,Depression,-0.019805894249778022
S000403,CAT,10,-0.03254149578001042,-0.008363926803673071,-0.019763097645593003,-0.030711770209479766,-0.026404417575988486,-0.022924067598530867,0.03254149578001042,0.019316182742735204,0.019763097645593003,0.030711770209479766,0.026404417575988486,0.022924067598530867,Safety,Safety,-0.03254149578001042
S001310,CAT,14,-0.03460282723073264,-0.016943546467993797,-0.03852037472474057,-0.0341772094644078,-0.008856046323953162,-0.04112085748996224,0.03460282723073264,0.025635686244560137,0.05055997818939325,0.036082012951794425,0.031088409157782153,0.04112085748996224,Vibrancy,Boring,-0.04112085748996224
S001299,CAT,8,-0.029590915815210467,0.00557175684307883,-0.030753532539396364,-0.023384256270708916,-0.03126409916004444,-0.030253748623264305,0.029590915815210467,0.07060639938162774,0.030753532539396364,0.027960600810511715,0.03126409916004444,0.03805353641870327,Aesthetics,Depression,-0.03126409916004444
S000840,CAT,10,0.01918323381008492,0.026798789346875997,0.013928724528719922,0.034171454415413485,0.040427224877498766,0.007549988846322762,0.03928129117170407,0.04681481089460725,0.0274755350240108,0.053971468145453304,0.04335766203642701,0.02395611303283311,Wealth,,0.007549988846322762
S000928,CAT,6,-0.026674877063769687,-0.03572162721344909,-0.031027208236927634,-0.020904193530216924,-0.036745398167276254,-0.012653535026148978,0.03341311823505316,0.03572162721344909,0.031027208236927634,0.020904193530216924,0.036745398167276254,0.012653535026148978,Depression,Depression,-0.036745398167276254
S001482,CAT,14,-0.021110170981853353,-0.023844188488139826,-0.02362906170265452,-0.021306924825633837,-0.02402284473689206,-0.043621383069562016,0.02509634671553587,0.023844188488139826,0.02362906170265452,0.02378550683368555,0.02402284473689206,0.043621383069562016,Boring,Boring,-0.043621383069562016
S000984,CAT,10,0.024075481016710032,0.028351857150828847,0.03042774857588499,0.01687745802482729,0.022784896099832076,0.01136180684607633,0.07535483902769673,0.08140484318343147,0.047371311164698775,0.05635667628615829,0.049820089958754574,0.03130460901911711,Aesthetics,,0.01136180684607633
S001945,CAT,4,-0.004480766459698287,-0.013668354201727127,-0.037132897699950596,-0.0015730744372427032,-0.014599182940757634,0.028925997545348366,0.004701917510341869,0.013668354201727127,0.037132897699950596,0.0015730744372427032,0.014599182940757634,0.028925997545348366,Vibrancy,Vibrancy,-0.037132897699950596
S001595,CAT,6,0.04881695983426867,0.06731605064315745,0.052935939467383425,0.030448861284360664,0.026422000152286074,0.02964896351031852,0.0567038306432379,0.08794218280288017,0.07091696428171552,0.04239580534711113,0.06111532860654003,0.05701371558321242,Aesthetics,,0.026422000152286074
S001701,CAT,4,0.07653019457727267,0.12040715491928669,0.17494678527247076,0.10357597077337066,0.1060118972598656,0.18020277497551124,0.07653019457727267,0.12040715491928669,0.17494678527247076,0.10357597077337066,0.1060118972598656,0.18020277497551124,Boring,,0.07653019457727267
S000940,CAT,26,-0.006189493248321082,-0.010080702577149752,-0.009462748908837443,-0.018405268199079765,-0.005528446939177649,0.013505054029247846,0.027338097237655703,0.02953666584790742,0.03440878782941836,0.03362239625286144,0.029222923309356833,0.03679155653622054,Boring,Wealth,-0.018405268199079765
S001878,CAT,4,0.045328679351349946,0.04634884388478827,0.03725910841713972,0.035039496699172716,0.057348677547330515,0.05194550897978368,0.059942011759818656,0.08944444524379083,0.03725910841713972,0.07023848912662914,0.07136321024837024,0.05194550897978368,Aesthetics,,0.035039496699172716
S000356,CAT,6,-0.0043869475891171504,-0.02975750944530367,-0.008866194789967917,0.005634922800236993,-0.021589631365075145,-0.03826411868725206,0.014971202930308397,0.02975750944530367,0.008866194789967917,0.03511795203204092,0.021589631365075145,0.03826411868725206,Boring,Boring,-0.03826411868725206
S000245,CAT,4,-0.03083438142331928,-0.024720710479497317,-0.046907315565159174,-0.05303262422034635,-0.01068085994085688,-0.03683986968358245,0.03083438142331928,0.024720710479497317,0.046907315565159174,0.05303262422034635,0.015326259110044552,0.03683986968358245,Wealth,Wealth,-0.05303262422034635
S001104,CAT,2,0.010711274769810375,-0.023719336593924407,-0.04214893646311729,0.0052174933303051,-0.03447420662884658,-0.04321091539835408,0.010711274769810375,0.023719336593924407,0.04214893646311729,0.0052174933303051,0.03447420662884658,0.04321091539835408,Boring,Boring,-0.04321091539835408
S001732,CAT,4,-0.06454005277523611,-0.04123301777515917,-0.033593718299477646,-0.031655947900918156,-0.039943472957829886,-0.03393763329175711,0.06454005277523611,0.04123301777515917,0.033593718299477646,0.031655947900918156,0.039943472957829886,0.03393763329175711,Safety,Safety,-0.06454005277523611
S000319,CAT,2,-0.01379088895636466,-0.034965087950140486,-0.03215224621580559,-0.05549639512860401,-0.03736695261916462,-0.027918333891825384,0.01379088895636466,0.034965087950140486,0.03215224621580559,0.05549639512860401,0.03736695261916462,0.027918333891825384,Wealth,Wealth,-0.05549639512860401
S000413,CAT,10,-0.026368683093198998,-0.02259648245697035,-0.0019787723374342994,0.004854131882607122,0.005142819460680149,-0.019716400059820262,0.026368683093198998,0.03367550342024899,0.026886175114906142,0.027407612342365807,0.011360186798054929,0.02071870587224438,Aesthetics,Safety,-0.026368683093198998
S000179,CAT,50,0.007403756394043694,0.003212223950029516,0.020986328100568975,-0.014946570357504005,0.0033513062664967254,4.5710715370107926e-05,0.03765460590756594,0.044796807852832805,0.0336333613975638,0.029296440814641535,0.03725933228346668,0.03888641348269672,Aesthetics,Wealth,-0.014946570357504005
S000508,CAT,6,0.032767125412928914,0.02468427301908858,0.06235301157839926,0.05491578510083122,0.028578363394122897,0.03704902655771409,0.04941685094145901,0.029587933148051148,0.06235301157839926,0.0683819262954204,0.03437492835909064,0.04620945272844144,Wealth,,0.02468427301908858
S001644,CAT,56,0.025950432119743516,0.02110226410242744,0.013837643085654609,0.024743287796084448,0.029523477667424632,0.024432559246716983,0.045102750411839594,0.03868756963287251,0.03824918422891314,0.054023825145780295,0.0588941995225948,0.04552531793784779,Depression,,0.013837643085654609
S000159,CAT,8,0.04083559412909239,0.030754136996442565,0.044339427753945095,0.02437153897088514,0.03593348384588617,0.03813466139121684,0.04689645288443399,0.039140868570376575,0.07981175478309487,0.05074136322360872,0.04846634026697909,0.056282250227661854,Vibrancy,,0.02437153897088514
S001811,CAT,12,-0.017006358405081953,-0.0251950118351281,-0.04425251570116651,-0.04804915931288062,-0.012455539337925842,-0.020336520171245213,0.019976371532812467,0.0251950118351281,0.04425251570116651,0.04804915931288062,0.012455539337925842,0.031668879922778344,Wealth,Wealth,-0.04804915931288062
S000771,CAT,8,0.05449408811658761,0.06194933213368324,0.06383799822771757,0.04765784382353528,0.052333306503185566,0.059336432157291535,0.05449408811658761,0.06194933213368324,0.06383799822771757,0.051237392448812966,0.05453299344344568,0.06595922566532958,Boring,,0.04765784382353528
S001181,CAT,8,0.03148185267938691,0.03893242358871116,0.0828205463215543,0.00903347098901063,0.045765927374073964,0.0680204406564872,0.03148185267938691,0.03893242358871116,0.0828205463215543,0.03457749692929235,0.045765927374073964,0.0680204406564872,Vibrancy,,0.00903347098901063
S001267,CAT,4,-0.038778804164661486,-0.024635608729306875,-0.01673237577110464,-0.04726902463217317,-0.042358362997968094,-0.030169666658128636,0.038778804164661486,0.024635608729306875,0.023085575267689416,0.04726902463217317,0.042358362997968094,0.030169666658128636,Wealth,Wealth,-0.04726902463217317
S001219,CAT,16,0.05905580791368516,0.05787161280069098,0.07173536804844778,0.05132581803049054,0.08338936876499847,0.037165545975708876,0.06643298789155604,0.07965691102381305,0.07877715221696475,0.06963728994570391,0.08896529940177972,0.05699276654316491,Depression,,0.037165545975708876
S000850,CAT,6,-0.025025273703848095,-0.029672887400992085,-0.008475521424571737,-0.00954769997434037,-0.022873326574394462,-0.03613271310460877,0.025025273703848095,0.029672887400992085,0.016023551601555813,0.00954769997434037,0.024800879615159675,0.03613271310460877,Boring,Boring,-0.03613271310460877
S000575,CAT,20,-0.011527810532734339,-0.0031495165299376994,-0.02292966763969735,0.035749935315988954,0.023120767911605975,-0.007453648032155269,0.03369561455199227,0.01977397707158842,0.05183550219927875,0.05722461458845941,0.032956507143925715,0.03730514816450486,Wealth,Vibrancy,-0.02292966763969735
S000556,CAT,4,0.07358680805304849,-0.008280149235583841,0.0018823028359259506,0.018780331642437385,-0.0034863036865078337,-0.015619521355352165,0.09773420990530574,0.023261647053053856,0.027721810156478902,0.05657697479483084,0.029956128238034757,0.03668831715388306,Safety,Boring,-0.015619521355352165
S000854,CAT,2,0.11707122999687308,0.09089676149944559,0.05838025178650339,0.09479037543367169,0.04805774038881643,0.0971668926984414,0.11707122999687308,0.09089676149944559,0.05838025178650339,0.09479037543367169,0.04805774038881643,0.0971668926984414,Safety,,0.04805774038881643
S001873,CAT,4,-0.027617754687251292,-0.03218243369323522,-0.020416361137132362,-0.027347199854009623,-0.060605981143678815,-0.02465213208250068,0.027617754687251292,0.03218243369323522,0.020416361137132362,0.027347199854009623,0.060605981143678815,0.02465213208250068,Depression,Depression,-0.060605981143678815
S001393,CAT,2,-0.023368800792492907,0.003204881749128613,-0.004839212133024385,-0.003909967785412632,-0.01699541976037877,0.01500750284916448,0.023368800792492907,0.003204881749128613,0.004839212133024385,0.003909967785412632,0.01699541976037877,0.01500750284916448,Safety,Safety,-0.023368800792492907
S001630,CAT,2,-0.02545192162698333,-0.028106998186433637,-0.009826354744293078,-0.026340044246213265,-0.007373607766952662,-0.015948090523141153,0.02545192162698333,0.028106998186433637,0.009826354744293078,0.026340044246213265,0.007373607766952662,0.015948090523141153,Aesthetics,Aesthetics,-0.028106998186433637
S000987,CAT,20,-0.0128463923677813,-0.008773060056528696,-0.02189196975970121,-0.006518001361733,-0.00532538500927336,0.017341843292859368,0.04328616189841963,0.03838642233941956,0.04336474207030913,0.0354843236861513,0.03419649865750259,0.04541126889429793,Boring,Vibrancy,-0.02189196975970121
S000725,CAT,2,-0.024360824457703774,-0.027037421023135725,-0.03129671398699887,-0.09172901927563341,-0.07038496292220237,-0.0390192567470244,0.024360824457703774,0.027037421023135725,0.03129671398699887,0.09172901927563341,0.07038496292220237,0.0390192567470244,Wealth,Wealth,-0.09172901927563341
S000355,CAT,12,-0.019882715088705854,-0.0111465638560283,-0.009626055795713755,-0.011436588755750729,-0.02145140433888201,-0.008091096633164555,0.02294012968435992,0.013067344710678615,0.011004079320043636,0.02815002738854296,0.02145140433888201,0.027577851977803287,Wealth,Depression,-0.02145140433888201
S000051,CAT,16,-0.001145800308359131,-0.0004744503352849727,-0.016060215036731766,-0.016862995614983743,-0.0009439077057798403,-0.014033755300348859,0.0293738835659345,0.024594101297141784,0.017049088446414784,0.03867034060324279,0.02542708672115899,0.029871366871815415,Wealth,Wealth,-0.016862995614983743
S000802,CAT,14,-0.0204260058588934,-0.009588279837400173,-0.009454550294604612,-0.027363783961036968,-0.010294328719369219,-0.005432069252570666,0.029629434866462412,0.010686327949594605,0.026164160168433256,0.034726776440936837,0.015688781709716465,0.025172238227138707,Wealth,Wealth,-0.027363783961036968
S000290,CAT,2,-0.013633855190093247,-0.021993709365137833,0.0003107502141274053,-0.04326958040528751,-0.03716582689767889,-0.006092580997732629,0.013633855190093247,0.021993709365137833,0.0003107502141274053,0.04326958040528751,0.03716582689767889,0.006092580997732629,Wealth,Wealth,-0.04326958040528751
S001758,CAT,4,-0.01713925696682478,-0.07791397675422734,-0.06120431773466397,-0.028309598919494378,-0.03214226265778328,-0.019418190141609344,0.01713925696682478,0.07791397675422734,0.06120431773466397,0.028309598919494378,0.03214226265778328,0.019418190141609344,Aesthetics,Aesthetics,-0.07791397675422734
S000620,CAT,6,-0.006162445262160057,-0.019131705492473308,-0.02868650376070069,-0.02400137926715414,-0.027846413759513088,-0.01967505951267237,0.009680523152067579,0.019131705492473308,0.02868650376070069,0.02400137926715414,0.027846413759513088,0.03360484886430734,Boring,Vibrancy,-0.02868650376070069
S002030,CAT,18,-0.020450477417543536,-0.019982577546581302,-0.006873222824363562,-0.015469555452429637,-0.006957766145209543,-0.014551463663990911,0.027485631775215267,0.024317543340560552,0.03263014060369927,0.022028315071429144,0.019407548168905345,0.0289088220833371,Vibrancy,Safety,-0.020450477417543536
S001742,CAT,14,0.0010537080512461928,-0.004662499504809736,-0.024501549089429864,-0.008596156112501347,0.007836669878869244,0.015340993879363876,0.03705532315010881,0.03709976018225275,0.0788464445466328,0.0437089266719878,0.019147076310830576,0.055655247430478796,Vibrancy,Vibrancy,-0.024501549089429864
S001020,CAT,10,-0.027628960832108262,-0.02755200987354716,-0.031149261069987687,-0.03118512839734533,-0.015514310014429456,-0.026882549851802155,0.027628960832108262,0.02755200987354716,0.036928739087402844,0.03151435925730228,0.02327341987325289,0.029392084692714277,Vibrancy,Wealth,-0.03118512839734533
S000278,CAT,2,0.021822863364065928,0.0038100372121637957,-0.03969924485278924,-0.017792783999949092,0.022851717961256287,-0.0098344785736362,0.021822863364065928,0.0038100372121637957,0.03969924485278924,0.017792783999949092,0.022851717961256287,0.0098344785736362,Vibrancy,Vibrancy,-0.03969924485278924
S001311,CAT,18,-0.008581998039362477,-0.014974697460176338,-0.02932508162006063,-0.013802041428649848,-0.02797211134423407,-0.02684164444945464,0.04304361922240402,0.034729031460970256,0.03685443170384214,0.03365456365494743,0.033247771150926336,0.03185280660394851,Safety,Vibrancy,-0.02932508162006063
S000160,CAT,8,-0.0395235203112466,-0.031405853166063674,-0.01639928269660404,-0.028759799081758776,-0.04648687064518149,-0.017475971056817634,0.04055859205534226,0.03934641745754737,0.03436918240150783,0.033605238610734486,0.04648687064518149,0.03326785756315451,Depression,Depression,-0.04648687064518149
S001552,CAT,2,-0.026643393193721755,-0.04252022572761766,-0.011543853464586714,-0.011324533756319064,-0.013508571983068625,-0.034642117641881964,0.026643393193721755,0.04252022572761766,0.011543853464586714,0.011324533756319064,0.013508571983068625,0.034642117641881964,Aesthetics,Aesthetics,-0.04252022572761766
S000571,CAT,40,0.05506479730092676,0.06506215154438333,0.05903208933038846,0.055239374761388474,0.039306130338258895,0.06086272513679727,0.06106531237792649,0.06845624473316328,0.06312300405808094,0.0634406537746468,0.045183702781498344,0.06519946400398734,Aesthetics,,0.039306130338258895
S001923,CAT,6,-0.016920509630744207,0.0048210462497450925,-0.0213209193706362,-0.001208529126633907,-0.004042453162788011,-0.00016898063795515254,0.016920509630744207,0.02060533112226398,0.0213209193706362,0.02103239042550067,0.016276692500238926,0.008253441342208933,Vibrancy,Vibrancy,-0.0213209193706362
S000057,CAT,4,-0.010308296243347843,-0.0570382272858113,-0.04345646290835073,-0.0435165460649534,-0.007064072526879048,-0.027251183089945757,0.010308296243347843,0.0570382272858113,0.04345646290835073,0.0435165460649534,0.007064072526879048,0.027251183089945757,Aesthetics,Aesthetics,-0.0570382272858113
S001894,CAT,8,-0.021762365726079643,-0.026590164395429102,-0.025538440528545165,-0.05097542428469676,-0.014699622695200825,-0.031494482971299066,0.035563112177833096,0.028473378602166678,0.025538440528545165,0.05097542428469676,0.02577215370463786,0.031494482971299066,Wealth,Wealth,-0.05097542428469676
S000851,CAT,2,-0.052523505797201865,-0.045647834342466755,-0.024249948402783005,-0.044853645628508104,-0.005397358550585709,-0.016890958601205926,0.052523505797201865,0.045647834342466755,0.024249948402783005,0.044853645628508104,0.005397358550585709,0.016890958601205926,Safety,Safety,-0.052523505797201865
S001569,CAT,12,-0.05652571468221999,-0.03987824313652601,-0.06527584935412697,-0.0454072903511806,-0.030324259597987933,-0.052521452404397845,0.05652571468221999,0.03987824313652601,0.06527584935412697,0.0454072903511806,0.030324259597987933,0.052521452404397845,Vibrancy,Vibrancy,-0.06527584935412697
S000053,CAT,4,-0.006509398201642808,-0.018469735750187326,0.014045297527372278,-0.01609972883021816,-0.00841276107035606,-0.058977908921203345,0.018066957470704678,0.018469735750187326,0.02922667346322061,0.022377981010854253,0.011695694122755977,0.058977908921203345,Boring,Boring,-0.058977908921203345
S000066,CAT,4,0.056054809028798024,0.0311410068796214,0.049491981394279044,0.02588114752009426,0.022034333013104944,0.04611214147627157,0.056054809028798024,0.0311410068796214,0.049491981394279044,0.02588114752009426,0.040251710226717474,0.05555999548210083,Safety,,0.022034333013104944
S001320,CAT,2,-0.007790233809071499,0.015568943285290715,0.02847196705154886,-0.01549314689633086,0.023589135528158583,0.006148747538816536,0.007790233809071499,0.015568943285290715,0.02847196705154886,0.01549314689633086,0.023589135528158583,0.006148747538816536,Vibrancy,Wealth,-0.01549314689633086
S001867,CAT,14,-0.018492203400890646,-0.01198154954026349,-0.014124611353511785,-0.016337082796626785,-0.02639699646103929,-0.007271535737335263,0.031689078043185714,0.022115562865794507,0.024759577368094355,0.04425791497190751,0.037770382340474314,0.025001324238378867,Wealth,Depression,-0.02639699646103929
S000686,CAT,10,-0.0012493200437401625,-0.03892975497034243,-0.026841490185354956,-0.03438526549930111,-0.023215771821005548,-0.02814035983039854,0.017857091885612183,0.03892975497034243,0.031656633853390556,0.03438526549930111,0.025745391123788947,0.02814035983039854,Aesthetics,Aesthetics,-0.03892975497034243
S000766,CAT,8,0.032027790714081995,0.02227375284576453,0.03289433355308208,0.037568738887983004,0.03116165010240224,0.03245536893757102,0.06582582101314136,0.04759362723257131,0.053604272304102314,0.04069857741636328,0.03787127715306063,0.07923418338695493,Boring,,0.02227375284576453
S001151,CAT,20,0.020897915579647118,0.017183894387141012,0.023519917832636968,0.014740290967848787,0.014692108792324039,0.022676708324232055,0.03989881619843906,0.03778170131730694,0.04834285623978252,0.03573796784345358,0.03633737647725071,0.03261619826064313,Vibrancy,,0.014692108792324039
