segment_id,category,n_poi,mean_satisfaction,mean_Safety,mean_Aesthetics,mean_Vibrancy,mean_Wealth,mean_Depression,mean_Boring,dominant_shap_driver,negative_shap_driver,negative_shap_value,low_satisfaction_flag,low_satisfaction_threshold,geometry_wkt_epsg32649,centroid_x_epsg32649,centroid_y_epsg32649
S001701,CAT,4,4.45,3.112732351,4.8184174895,3.466165811,5.225891888,5.8067379594999995,5.391270399000001,Boring,,0.07653019457727267,0,3.542857142857143,"MultiLineString ((813093.63768583722412586 3391293.06527812080457807, 813084.19232140085659921 3391255.6726961275562644, 813057.75716959475539625 3391199.32723318552598357, 813045.81860199919901788 3391177.35768405348062515, 813008.95317536871880293 3391116.83561647869646549, 812927.85702226858120412 3390978.27314738044515252, 812889.76089533348567784 3390907.18209770321846008))",812996.9274718459,3391097.948774436
S000940,CAT,26,3.730769230769231,3.116635657307692,4.829971047538461,3.398746013692308,5.153256196230769,5.822405228307693,5.229037807538461,Boring,Wealth,-0.018405268199079765,0,3.542857142857143,"MultiLineString ((819003.74774328351486474 3379557.51482516946271062, 818866.99565102683845907 3379599.81723356898874044, 818857.25519329879898578 3379602.56059450982138515, 818820.15361817029770464 3379613.02290375111624599, 818804.64985543151851743 3379613.35426115710288286, 818743.41645354288630188 3379617.52238168194890022, 818652.78945911105256528 3379623.70015862165018916, 818643.27396397455595434 3379624.35244118282571435, 818555.75447562010958791 3379621.62013787403702736, 818479.87753091333433986 3379620.09701183345168829, 818414.02155962935648859 3379618.38093495927751064, 818405.28156892827246338 3379618.15709595754742622, 818324.90386380231939256 3379616.06976776011288166, 818226.00000454345718026 3379613.49359298357740045, 818138.45766423782333732 3379611.21921136695891619, 817926.85825727740302682 3379605.72155746119096875, 817741.88178879790939391 3379600.92112294258549809, 817731.82625559531152248 3379600.65909899072721601, 817540.88147139037027955 3379595.19840415986254811, 817534.03438507905229926 3379594.99747562408447266))",818272.5482347793,3379607.737634121
S001878,CAT,4,4.15,3.1026630995,4.789007961499999,3.3780355154999997,5.104593336500001,5.7987058165,5.117487013,Aesthetics,,0.035039496699172716,0,3.542857142857143,"MultiLineString ((808273.3170807627029717 3380163.45812870468944311, 808255.36274663847871125 3380187.85304919723421335, 808112.87648880551569164 3380266.20520138507708907, 808103.29467934230342507 3380273.3243591757491231, 808100.74172688508406281 3380280.63263384206220508, 808097.35288192029111087 3380299.07167905662208796))",808181.0578151954,3380229.2706508655
S000356,CAT,6,3.6333333333333333,3.066099385333333,4.857181827000001,3.4708662230000003,5.203823566333333,5.7953511476666675,5.312665184666667,Boring,Boring,-0.03826411868725206,0,3.542857142857143,"MultiLineString ((822517.24890731589403003 3378792.38166960002854466, 822595.76967552420683205 3378905.8074185443110764, 822621.6216855391394347 3378948.26156188827008009, 822633.5857215648284182 3378978.37944524036720395, 822645.75945548969320953 3379012.42221446475014091, 822655.95326367986854166 3379049.68077871482819319, 822665.06716086552478373 3379092.8460858641192317, 822669.0631793262436986 3379136.46940227318555117, 822669.47797540901228786 3379183.8157192631624639, 822666.57686756970360875 3379226.95578076783567667, 822659.62334837752860039 3379270.92981883510947227, 822649.86934220767579973 3379312.75553469266742468, 822636.33748380944598466 3379360.7184204300865531, 822621.90660687652416527 3379388.21795913809910417, 822602.05422673257999122 3379421.20609367545694113, 822571.87529049161821604 3379464.94294513808563352, 822536.69010288920253515 3379521.8515428826212883, 822516.15888649085536599 3379576.66601419681683183, 822510.33980602666269988 3379601.9467793614603579, 822508.49630903487559408 3379626.71329744951799512, 822514.10594404628500342 3379705.20788911543786526, 822522.78227257437538356 3379770.78368402644991875, 822530.54269896075129509 3379809.67920629819855094, 822555.5628815540112555 3379881.57026830967515707, 822580.3911345504457131 3379958.91733617894351482, 822582.53037750418297946 3379983.23646370647475123, 822583.82420268340501934 3380007.5414689015597105, 822584.4194399177795276 3380026.90790916373953223, 822584.49994285183493048 3380036.13511146884411573, 822584.98250517225824296 3380093.77399216312915087))",822587.2031623464,3379430.694975362
S000245,CAT,4,3.45,2.9856131675,4.8935563564999995,3.3102706375000004,5.1439589265,5.798038125,5.1712312695,Wealth,Wealth,-0.05303262422034635,1,3.542857142857143,"MultiLineString ((812728.35205832333303988 3387888.7618750729598105, 812727.16293102246709168 3387886.38535172119736671, 812724.58278586331289262 3387883.62431615404784679, 812721.18209507968276739 3387881.33911171276122332, 812710.45817203959450126 3387876.9213361837901175, 812601.85703583224676549 3387835.31313673593103886, 812574.41710283677093685 3387824.794621875975281, 812552.50878403126262128 3387815.60196932544931769, 812526.35841838316991925 3387802.66789533151313663, 812489.47278448706492782 3387784.03959036013111472, 812447.32641395949758589 3387761.02997249737381935, 812403.68286120146512985 3387735.32439318997785449, 812342.06059341388754547 3387696.70001990301534534, 812308.69764586258679628 3387674.46707143122330308, 812286.81611663079820573 3387658.02756149182096124))",812503.0725163949,3387782.8144538584
S001104,CAT,2,3.6,3.017196059,4.954302669,3.214427352,5.242718339,5.801871061,5.152827978,Boring,Boring,-0.04321091539835408,0,3.542857142857143,"MultiLineString ((808695.47639552596956491 3392324.28388060396537185, 808700.65829995251260698 3392324.67665406735613942, 809041.56276745675131679 3392469.82193539850413799, 809303.99392909416928887 3392573.32176146935671568, 809538.92450459650717676 3392663.63983574556186795, 809730.901176254497841 3392737.45499343844130635, 809926.5942775602452457 3392817.80750112002715468))",809310.0860061327,3392573.0392027795
S001732,CAT,4,3.3499999999999996,3.052925408,4.823389649,3.337416738,5.0938370825,5.8440960645,5.193077564,Safety,Safety,-0.06454005277523611,1,3.542857142857143,"MultiLineString ((811462.58887161733582616 3387452.28974113101139665, 811481.33205653005279601 3387459.39069353928789496, 811492.02802847372367978 3387465.13826478039845824, 811505.22126529819797724 3387474.53216807171702385, 811514.24642896710429341 3387483.26172309648245573, 811521.04610563558526337 3387490.90595465712249279, 811530.92734138830564916 3387503.24554878007620573, 811538.10809126426465809 3387515.31841829651966691, 811541.30934551218524575 3387521.85974970180541277, 811545.83595422201324254 3387531.05887993006035686, 811553.03337236004881561 3387540.8901432161219418, 811566.62658422323875129 3387551.39452877966687083, 811575.43271999224089086 3387556.39945339411497116, 811588.65955513645894825 3387560.96605844749137759, 811599.75587942055426538 3387564.15020680334419012))",811531.4483492664,3387508.6176028294
S000319,CAT,2,3.5,3.053809583,4.865864515,3.125762343,5.225208044,5.774169803,5.041687727,Wealth,Wealth,-0.05549639512860401,1,3.542857142857143,"MultiLineString ((814606.26293420628644526 3387072.71859726775437593, 814600.67162849206943065 3387071.12370542529970407, 814595.2701359287602827 3387066.97014361154288054, 814592.31341596553102136 3387061.97774829901754856, 814591.26738670468330383 3387056.6747949467971921, 814592.08779822220094502 3387050.93780687917023897, 814593.68663791264407337 3387047.48784289741888642, 814597.53036084119230509 3387043.13771323580294847, 814602.08149288455024362 3387040.55085325893014669, 814609.09428790968377143 3387039.51207193592563272, 814614.74005783791653812 3387040.88664299715310335, 814617.48133532330393791 3387042.39845161698758602, 814621.62729045934975147 3387046.45981732755899429, 814624.20579694455955178 3387051.90737817529588938, 814624.68125747446902096 3387057.67106542969122529, 814624.08076564990915358 3387060.80593508668243885))",814605.5865338793,3387052.5451251115
S000413,CAT,10,3.660000000000001,2.9673907162,4.8766610144,3.3942894338,5.211869096800001,5.8269121884,5.3568074704,Aesthetics,Safety,-0.026368683093198998,0,3.542857142857143,"MultiLineString ((819868.07880518632009625 3384819.76253493269905448, 819702.05791525077074766 3384888.56608793139457703, 819539.72539305780082941 3384955.84915361506864429, 819433.26219956402201205 3384999.97706458484753966))",819650.6694146883,3384909.8671753947
S000179,CAT,50,3.76,3.1068561197199993,4.84274467944,3.467816634120001,5.157462797080001,5.802602505720001,5.208890729,Aesthetics,Wealth,-0.014946570357504005,0,3.542857142857143,"MultiLineString ((825906.16321495198644698 3392813.45243963226675987, 825896.39842930343002081 3392813.15695758629590273, 825692.34988722507841885 3392806.55148904724046588, 825462.63483678514603525 3392799.11883472511544824, 825269.89218685391824692 3392793.29604336572811007, 825032.93048835475929081 3392786.14212196273729205, 824603.86018668045289814 3392773.20169400563463569, 824470.53125978307798505 3392769.18408420216292143, 824194.34911459963768721 3392759.90131341759115458, 824179.14755374379456043 3392759.38823051890358329))",825042.6531660563,3392786.482755723
